"","docname","from","to","pre","keyword","post","pattern"
"1","eike_09675.txt",1488,1488,"wie auch die ganze „","Klimahysterie",""" . Es gibt keinen","klimahysterie"
"2","eike_10545.txt",1604,1604,"mir nach diversen Virushysterien die","Klimahysterie","gerade rechtzeitig . So habe","klimahysterie"
"3","eike_09718.txt",417,417,"es den führenden Protagonisten der","Klimahysterie","keineswegs um das Klima geht","klimahysterie"
"4","eike_09718.txt",436,436,"zu nehmen . Die geschürte","Klimahysterie","mit ihrer metastatischen Durchdringung inzwischen","klimahysterie"
"5","eike_13062.txt",56,56,". Mit dem Siegeszug der","Klimahysterie","in den Regierungen , der","klimahysterie"
"6","eike_09342.txt",12,12,"die Massenmedien , daß „","Klimahysterie",""" das Unwort des Jahres","klimahysterie"
"7","eike_09342.txt",26,26,"dazu verbreiteten die Medien ordentlich","Klimahysterie",", indem sie von kochenden","klimahysterie"
"8","eike_06489.txt",1513,1513,"ist . Es hat eine","Klimahysterie","mit religiösen Untertönen geschaffen .","klimahysterie"
"9","eike_06788.txt",2487,2487,"der Erderwärmung zu ängstigen .","Klimahysterie","herrscht in China weder in","klimahysterie"
"10","eike_00728.txt",107,107,"gerade derjenigen , welche der","Klimahysterie","und der desaströsen Energiewende das","klimahysterie"
"11","eike_05010.txt",113,113,"wurde . Während sich die","Klimahysterie","nur langsam bewegte , in","klimahysterie"
"12","eike_06649.txt",3129,3129,"Soros31 mit dem Schüren einer","Klimahysterie","Macht und Reichtum vermehren ,","klimahysterie"
"13","eike_06649.txt",3544,3544,"die deutsch-österreichische Automobilindustrie aus der","Klimahysterie","Nutzen zu schlagen . VW","klimahysterie"
"14","eike_06649.txt",3604,3604,"Marktwirtschaft auszusetzen . Durch die","Klimahysterie","werden langfristige Wirtschaftspläne eingeführt -","klimahysterie"
"15","eike_06649.txt",3958,3958,"Das größte Interesse an der","Klimahysterie","haben jedoch die Militärs .","klimahysterie"
"16","eike_03588.txt",111,111,"verdient ihr mit euer „","Klimahysterie",""" ? Bitte seid transparent","klimahysterie"
"17","eike_03588.txt",1487,1487,"verdient ihr mit euer „","Klimahysterie",""" ? Bitte seid transparent","klimahysterie"
"18","eike_02864.txt",1857,1857,"usw . ) und die","Klimahysterie","hier noch lange weiterlaufen wird","klimahysterie"
"19","eike_05492.txt",3019,3019,"Mortalitäten Liste von Petitionen gegen","Klimahysterie","97 % Um nun den","klimahysterie"
"20","eike_00882.txt",1478,1478,"gegen die Erderwärmung "" Die","Klimahysterie","beruht im Wesentlichen auf der","klimahysterie"
